"Daily BID rates @ +/- 0%"
"www.oanda.com/currency/historical-rates/"
""
""
"End Date","USD/SAR","USD/EUR","USD/CNY","USD/JPY","USD/GBP","","","","",""
"2015-06-23","3.7491","0.8895","6.0869","123.69","0.6340",,,,,
"2015-06-22","3.7489","0.8799","6.0836","123.03","0.6306",,,,,
"2015-06-21","3.7489","0.8809","6.0836","122.64","0.6294",,,,,
"2015-06-20","3.7489","0.8809","6.0836","122.64","0.6294",,,,,
"2015-06-19","3.7486","0.8813","6.0848","122.91","0.6299",,,,,
"2015-06-18","3.7489","0.8791","6.0857","123.01","0.6302",,,,,
"2015-06-17","3.7494","0.8876","6.0914","123.69","0.6370",,,,,
"2015-06-16","3.7493","0.8880","6.0978","123.46","0.6405",,,,,
"2015-06-15","3.7490","0.8901","6.0984","123.43","0.6431",,,,,
"2015-06-14","3.7487","0.8869","6.0964","123.33","0.6422",,,,,
"2015-06-13","3.7487","0.8869","6.0964","123.33","0.6422",,,,,
"2015-06-12","3.7482","0.8896","6.0963","123.52","0.6442",,,,,
"2015-06-11","3.7491","0.8869","6.0975","123.33","0.6455",,,,,
"2015-06-10","3.7490","0.8847","6.1010","123.29","0.6471",,,,,
"2015-06-09","3.7492","0.8863","6.0922","124.37","0.6519",,,,,
"2015-06-08","3.7492","0.8959","6.0941","125.24","0.6545",,,,,
"2015-06-07","3.7486","0.8994","6.0923","125.53","0.6547",,,,,
"2015-06-06","3.7486","0.8994","6.0923","125.53","0.6547",,,,,
"2015-06-05","3.7484","0.8939","6.0903","124.91","0.6530",,,,,
"2015-06-04","3.7491","0.8866","6.0887","124.32","0.6511",,,,,
"2015-06-03","3.7492","0.8943","6.0924","124.18","0.6524",,,,,
"2015-06-02","3.7475","0.9074","6.1006","124.51","0.6555",,,,,
"2015-06-01","3.7492","0.9142","6.0911","124.29","0.6559",,,,,
"2015-05-31","3.7489","0.9096","6.0880","124.11","0.6534",,,,,
"2015-05-30","3.7489","0.9096","6.0880","124.11","0.6534",,,,,
"2015-05-29","3.7481","0.9116","6.0894","123.87","0.6536",,,,,
"2015-05-28","3.7492","0.9159","6.0898","123.94","0.6524",,,,,
"2015-05-27","3.7492","0.9185","6.0902","123.36","0.6504",,,,,
"2015-05-26","3.7492","0.9159","6.0885","122.41","0.6484",,,,,
"2015-05-25","3.7492","0.9104","6.0861","121.56","0.6461",,,,,
"2015-05-24","3.7491","0.9076","6.0822","121.48","0.6452",,,,,
"2015-05-23","3.7491","0.9076","6.0822","121.48","0.6452",,,,,
"2015-05-22","3.7493","0.9006","6.0806","121.09","0.6408",,,,,
"2015-05-21","3.7491","0.8990","6.0801","121.09","0.6405",,,,,
"2015-05-20","3.7492","0.8993","6.0826","120.96","0.6441",,,,,
"2015-05-19","3.7491","0.8908","6.0812","120.20","0.6420",,,,,
"2015-05-18","3.7492","0.8777","6.0778","119.69","0.6372",,,,,
"2015-05-17","3.7491","0.8732","6.0748","119.27","0.6357",,,,,
"2015-05-16","3.7491","0.8732","6.0748","119.27","0.6357",,,,,
"2015-05-15","3.7492","0.8771","6.0758","119.43","0.6346",,,,,
"2015-05-14","3.7492","0.8784","6.0755","119.16","0.6344",,,,,
"2015-05-13","3.7492","0.8870","6.0772","119.59","0.6371",,,,,
"2015-05-12","3.7492","0.8925","6.0818","120.03","0.6399",,,,,
"2015-05-11","3.7491","0.8958","6.0825","119.92","0.6458",,,,,
"2015-05-10","3.7490","0.8921","6.0831","119.72","0.6471",,,,,
"2015-05-09","3.7490","0.8921","6.0831","119.72","0.6471",,,,,
"2015-05-08","3.7491","0.8907","6.0882","119.86","0.6476",,,,,
"2015-05-07","3.7491","0.8834","6.0948","119.47","0.6565",,,,,
"2015-05-06","3.7492","0.8883","6.0837","119.71","0.6573",,,,,
"2015-05-05","3.7482","0.8970","6.0886","120.10","0.6604",,,,,
"2015-05-04","3.7485","0.8953","6.0893","120.14","0.6606",,,,,
"2015-05-03","3.7488","0.8927","6.0891","120.14","0.6601",,,,,
"2015-05-02","3.7488","0.8927","6.0891","120.14","0.6601",,,,,
"2015-05-01","3.7490","0.8910","6.0869","119.84","0.6547",,,,,
"2015-04-30","3.7489","0.8962","6.0843","119.11","0.6493",,,,,
"2015-04-29","3.7488","0.9066","6.0850","118.95","0.6501",,,,,
"2015-04-28","3.7489","0.9160","6.0903","119.00","0.6549",,,,,
"2015-04-27","3.7489","0.9203","6.0906","119.07","0.6587",,,,,
"2015-04-26","3.7471","0.9193","6.0877","118.93","0.6583",,,,,
"2015-04-25","3.7471","0.9193","6.0877","118.93","0.6583",,,,,
"2015-04-24","3.7476","0.9225","6.0888","119.32","0.6618",,,,,
"2015-04-23","3.7488","0.9303","6.0921","119.84","0.6654",,,,,
"2015-04-22","3.7490","0.9310","6.0921","119.67","0.6672",,,,,
"2015-04-21","3.7490","0.9327","6.0941","119.47","0.6710",,,,,
"2015-04-20","3.7490","0.9286","6.0941","118.99","0.6694",,,,,
"2015-04-19","3.7491","0.9249","6.0913","118.84","0.6679",,,,,
"2015-04-18","3.7491","0.9249","6.0913","118.84","0.6679",,,,,
"2015-04-17","3.7492","0.9272","6.0900","118.93","0.6683",,,,,
"2015-04-16","3.7492","0.9337","6.0906","119.13","0.6721",,,,,
"2015-04-15","3.7492","0.9405","6.0966","119.40","0.6769",,,,,
"2015-04-14","3.7492","0.9434","6.1027","119.69","0.6801",,,,,
"2015-04-13","3.7493","0.9450","6.1059","120.33","0.6833",,,,,
"2015-04-12","3.7492","0.9428","6.1008","120.12","0.6833",,,,,
"2015-04-11","3.7492","0.9428","6.1008","120.12","0.6833",,,,,
"2015-04-10","3.7496","0.9406","6.1024","120.38","0.6815",,,,,
"2015-04-09","3.7495","0.9314","6.1006","120.27","0.6752",,,,,
"2015-04-08","3.7496","0.9231","6.1021","119.99","0.6720",,,,,
"2015-04-07","3.7496","0.9183","6.0987","119.89","0.6721",,,,,
"2015-04-06","3.7494","0.9101","6.0920","119.07","0.6698",,,,,
"2015-04-05","3.7495","0.9106","6.0924","118.92","0.6699",,,,,
"2015-04-04","3.7495","0.9106","6.0924","118.92","0.6699",,,,,
"2015-04-03","3.7496","0.9160","6.0966","119.42","0.6729",,,,,
"2015-04-02","3.7495","0.9241","6.1000","119.65","0.6743",,,,,
"2015-04-01","3.7492","0.9292","6.1060","119.81","0.6745",,,,,
"2015-03-31","3.7493","0.9282","6.1082","120.04","0.6754",,,,,
"2015-03-30","3.7496","0.9215","6.1091","119.63","0.6740",,,,,
"2015-03-29","3.7498","0.9179","6.1129","119.10","0.6717",,,,,
"2015-03-28","3.7498","0.9179","6.1129","119.10","0.6717",,,,,
"2015-03-27","3.7499","0.9196","6.1134","119.21","0.6727",,,,,
"2015-03-26","3.7497","0.9122","6.1103","119.06","0.6717",,,,,
"2015-03-25","3.7492","0.9133","6.1113","119.59","0.6722",,,,,
"2015-03-24","3.7491","0.9141","6.1119","119.64","0.6704",,,,,
"2015-03-23","3.7491","0.9206","6.1160","119.88","0.6699",,,,,
"2015-03-22","3.7492","0.9237","6.1150","120.02","0.6682",,,,,
"2015-03-21","3.7492","0.9237","6.1150","120.02","0.6682",,,,,
"2015-03-20","3.7493","0.9325","6.1173","120.65","0.6750",,,,,
"2015-03-19","3.7493","0.9320","6.1148","120.54","0.6731",,,,,
"2015-03-18","3.7493","0.9403","6.1185","121.10","0.6781",,,,,
"2015-03-17","3.7493","0.9444","6.1323","121.34","0.6761",,,,,
"2015-03-16","3.7492","0.9487","6.1423","121.31","0.6764",,,,,
"2015-03-15","3.7490","0.9524","6.1481","121.34","0.6779",,,,,
"2015-03-14","3.7490","0.9524","6.1481","121.34","0.6779",,,,,
"2015-03-13","3.7492","0.9458","6.1438","121.38","0.6746",,,,,
"2015-03-12","3.7492","0.9451","6.1487","121.31","0.6695",,,,,
"2015-03-11","3.7491","0.9405","6.1527","121.34","0.6653",,,,,
"2015-03-10","3.7489","0.9280","6.1520","121.44","0.6629",,,,,
"2015-03-09","3.7490","0.9212","6.1507","120.95","0.6628",,,,,
"2015-03-08","3.7489","0.9218","6.1467","120.79","0.6645",,,,,
"2015-03-07","3.7489","0.9218","6.1467","120.79","0.6645",,,,,
"2015-03-06","3.7490","0.9121","6.1428","120.31","0.6588",,,,,
"2015-03-05","3.7490","0.9049","6.1433","119.95","0.6559",,,,,
"2015-03-04","3.7490","0.8979","6.1482","119.66","0.6523",,,,,
"2015-03-03","3.7489","0.8939","6.1491","119.78","0.6505",,,,,
"2015-03-02","3.7490","0.8935","6.1555","119.87","0.6495",,,,,
"2015-03-01","3.7487","0.8927","6.1571","119.53","0.6474",,,,,
"2015-02-28","3.7487","0.8927","6.1571","119.53","0.6474",,,,,
"2015-02-27","3.7489","0.8921","6.1527","119.39","0.6482",,,,,
"2015-02-26","3.7488","0.8838","6.1411","119.01","0.6453",,,,,
"2015-02-25","3.7489","0.8808","6.1421","118.82","0.6456",,,,,
"2015-02-24","3.7490","0.8826","6.1451","119.14","0.6474",,,,,
"2015-02-23","3.7495","0.8809","6.1442","119.01","0.6493",,,,,
"2015-02-22","3.7498","0.8786","6.1426","118.96","0.6490",,,,,
"2015-02-21","3.7497","0.8786","6.1426","118.97","0.6490",,,,,
"2015-02-20","3.7500","0.8807","6.1434","118.82","0.6493",,,,,
"2015-02-19","3.7500","0.8773","6.1421","118.80","0.6477",,,,,
"2015-02-18","3.7499","0.8781","6.1417","119.15","0.6497",,,,,
"2015-02-17","3.7498","0.8789","6.1407","118.72","0.6509",,,,,
"2015-02-16","3.7497","0.8772","6.1346","118.54","0.6494",,,,,
"2015-02-15","3.7492","0.8773","6.1323","118.72","0.6491",,,,,
"2015-02-14","3.7492","0.8773","6.1323","118.73","0.6491",,,,,
"2015-02-13","3.7500","0.8764","6.1324","118.84","0.6495",,,,,
"2015-02-12","3.7496","0.8815","6.1368","119.72","0.6539",,,,,
"2015-02-11","3.7496","0.8840","6.1399","119.78","0.6553",,,,,
"2015-02-10","3.7498","0.8834","6.1395","118.88","0.6564",,,,,
"2015-02-09","3.7502","0.8829","6.1404","118.74","0.6563",,,,,
"2015-02-08","3.7502","0.8832","6.1416","119.11","0.6557",,,,,
"2015-02-07","3.7502","0.8832","6.1416","119.11","0.6557",,,,,
"2015-02-06","3.7509","0.8754","6.1374","117.87","0.6534",,,,,
"2015-02-05","3.7511","0.8778","6.1457","117.32","0.6562",,,,,
"2015-02-04","3.7510","0.8733","6.1460","117.56","0.6585",,,,,
"2015-02-03","3.7523","0.8788","6.1519","117.37","0.6637",,,,,
"2015-02-02","3.7554","0.8832","6.1639","117.48","0.6642",,,,,
"2015-02-01","3.7571","0.8855","6.1657","117.47","0.6633",,,,,
"2015-01-31","3.7571","0.8855","6.1657","117.47","0.6634",,,,,
"2015-01-30","3.7569","0.8832","6.1523","117.80","0.6638",,,,,
"2015-01-29","3.7571","0.8851","6.1464","117.91","0.6614",,,,,
"2015-01-28","3.7571","0.8811","6.1449","117.86","0.6587",,,,,
"2015-01-27","3.7566","0.8855","6.1451","118.06","0.6611",,,,,
"2015-01-26","3.7563","0.8912","6.1524","118.03","0.6654",,,,,
"2015-01-25","3.7563","0.8921","6.1467","117.75","0.6667",,,,,
"2015-01-24","3.7563","0.8921","6.1467","117.75","0.6667",,,,,
"2015-01-23","3.7572","0.8854","6.1384","118.20","0.6666",,,,,
"2015-01-22","3.7553","0.8657","6.1231","117.96","0.6612",,,,,
"2015-01-21","3.7547","0.8638","6.1226","117.95","0.6606",,,,,
"2015-01-20","3.7543","0.8634","6.1225","118.30","0.6611",,,,,
"2015-01-19","3.7535","0.8629","6.1237","117.35","0.6603",,,,,
"2015-01-18","3.7491","0.8639","6.1260","117.55","0.6599",,,,,
"2015-01-17","3.7492","0.8639","6.1260","117.55","0.6599",,,,,
"2015-01-16","3.7528","0.8621","6.1211","116.68","0.6589",,,,,
"2015-01-15","3.7523","0.8534","6.1097","117.17","0.6572",,,,,
"2015-01-14","3.7522","0.8488","6.1106","117.16","0.6584",,,,,
"2015-01-13","3.7521","0.8467","6.1135","118.26","0.6597",,,,,
"2015-01-12","3.7531","0.8447","6.1145","118.51","0.6597",,,,,
"2015-01-11","3.7536","0.8443","6.1155","118.52","0.6594",,,,,
"2015-01-10","3.7536","0.8443","6.1155","118.52","0.6594",,,,,
"2015-01-09","3.7537","0.8467","6.1209","119.25","0.6614",,,,,
"2015-01-08","3.7532","0.8469","6.1285","119.62","0.6628",,,,,
"2015-01-07","3.7528","0.8434","6.1275","119.06","0.6612",,,,,
"2015-01-06","3.7526","0.8383","6.1301","119.00","0.6570",,,,,
"2015-01-05","3.7521","0.8374","6.1371","120.13","0.6548",,,,,
"2015-01-04","3.7501","0.8331","6.1372","120.42","0.6523",,,,,
"2015-01-03","3.7501","0.8331","6.1372","120.42","0.6523",,,,,
"2015-01-02","3.7515","0.8300","6.1354","120.30","0.6460",,,,,
"2015-01-01","3.7520","0.8263","6.1398","119.87","0.6419",,,,,
