Series Code,Country Name,Country Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
FI.RES.TOTL.CD,United States,USA,19664163998,18825529998,17252463898,16878647999,16725493599,15498323199,14953446599,14898991999,17857179998,17031415997,15236515797,14831060780,20573758865,33703599365,55700252989,43154979469,44162122750,53374354617,69447953384,1.43E+11,1.71E+11,1.24E+11,1.43E+11,1.23E+11,1.05E+11,1.18E+11,1.40E+11,1.62E+11,1.44E+11,1.69E+11,1.73E+11,1.59E+11,1.48E+11,1.65E+11,1.64E+11,1.76E+11,1.61E+11,1.35E+11,1.46E+11,1.36E+11,1.28E+11,1.30E+11,1.58E+11,1.84E+11,1.90E+11,1.88E+11,2.21E+11,2.78E+11,2.94E+11,4.04E+11,4.89E+11,5.37E+11,5.74E+11,4.49E+11,4.34E+11,..
FI.RES.XGLD.CD,United States,USA,1554799998,1805899998,1163399999,1246999999,1201399999,1384999999,1646700000,2765200000,4817899999,5104599998,3414889997,2108552780,2663305865,2725966865,4231847989,4626901969,7148992750,7592482117,6979293384,7784019267,15595956075,18923552004,22809383815,22626686143,23837787423,32095452382,37452374460,34720280957,36744713390,63549574571,72258253546,66661459959,60267618750,62352714979,63284126227,74781493363,64040816053,58906923254,70714873897,60499559349,56600419899,57633681861,67962334847,74894062955,75890044217,54083765322,54853857379,59524250421,66607010764,1.20E+11,1.21E+11,1.37E+11,1.39E+11,1.34E+11,1.19E+11,..
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data from database: World Development Indicators,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Last Updated: 12/22/2015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
