,Country Name,Country Code,Indicator Name,Indicator Code,Time Period,Value,Status,Unnamed: 7
9673722,Japan,158,"Goods, Deflator/Unit Value of Exports, Index",TXG_D_FOB_IX,1987M6,86.73480715,,
9676732,Ireland,178,"Goods, Deflator/Unit Value of Exports, Index",TXG_D_FOB_IX,1986M8,97.40210851,,
9676868,Japan,158,"Goods, Deflator/Unit Value of Exports, Index",TXG_D_FOB_IX,1960M4,73.62718944,,
9678015,Thailand,578,"Goods, Deflator/Unit Value of Exports, Index",TXG_D_FOB_IX,1989M5,50.92029701,,
9678724,India,534,"Goods, Deflator/Unit Value of Exports, Index",TXG_D_FOB_IX,1976M10,7.093411761,,
9679440,Switzerland,146,"Goods, Deflator/Unit Value of Exports, Index",TXG_D_FOB_IX,1977M2,82.58859784,,
9680830,Japan,158,"Goods, Deflator/Unit Value of Exports, Index",TXG_D_FOB_IX,1972M10,71.01366765,,
9681046,Greece,174,"Goods, Deflator/Unit Value of Exports, Index",TXG_D_FOB_IX,1978M2,12.09248336,,
9683217,Netherlands,138,"Goods, Deflator/Unit Value of Exports, Index",TXG_D_FOB_IX,1990M5,93.72502938,,
9687300,Japan,158,"Goods, Deflator/Unit Value of Exports, Index",TXG_D_FOB_IX,1965M11,66.57519738,,
9687301,Japan,158,"Goods, Deflator/Unit Value of Exports, Index",TXG_D_FOB_IX,1989M2,89.50411772,,
9687389,Japan,158,"Goods, Deflator/Unit Value of Exports, Index",TXG_D_FOB_IX,2004M7,93.1447823,,
9691934,"China, P.R.: Hong Kong",532,"Goods, Deflator/Unit Value of Exports, Index",TXG_D_FOB_IX,1994M12,98.07692308,,
9692672,Spain,184,"Goods, Deflator/Unit Value of Exports, Index",TXG_D_FOB_IX,1962M6,10.02856683,,
9692673,Spain,184,"Goods, Deflator/Unit Value of Exports, Index",TXG_D_FOB_IX,1993M11,78.14270272,,
9694068,Jordan,439,"Goods, Deflator/Unit Value of Exports, Index",TXG_D_FOB_IX,2007M11,82.19489982,,
9695059,Germany,134,"Goods, Deflator/Unit Value of Exports, Index",TXG_D_FOB_IX,1968M6,51.79630865,,
9695660,Netherlands,138,"Goods, Deflator/Unit Value of Exports, Index",TXG_D_FOB_IX,1969M2,42.13493664,,
9696026,Canada,156,"Goods, Deflator/Unit Value of Exports, Index",TXG_D_FOB_IX,1985M4,69.23570199,,
9696039,Ireland,178,"Goods, Deflator/Unit Value of Exports, Index",TXG_D_FOB_IX,1978M5,53.91127105,,
9696040,Ireland,178,"Goods, Deflator/Unit Value of Exports, Index",TXG_D_FOB_IX,2013M2,102.0371134,,
9696289,Belgium-Luxembourg,126,"Goods, Deflator/Unit Value of Exports, Index",TXG_D_FOB_IX,1992M2,103.3066739,,
9696684,Ireland,178,"Goods, Deflator/Unit Value of Exports, Index",TXG_D_FOB_IX,1983M8,93.06026117,,
9696834,Sri Lanka,524,"Goods, Deflator/Unit Value of Exports, Index",TXG_D_FOB_IX,1978M5,75.70490994,,
9697829,Ireland,178,"Goods, Deflator/Unit Value of Exports, Index",TXG_D_FOB_IX,1994M2,101.542268,,
9700867,Japan,158,"Goods, Deflator/Unit Value of Exports, Index",TXG_D_FOB_IX,2001M6,95.13575953,,
9702860,Ireland,178,"Goods, Deflator/Unit Value of Exports, Index",TXG_D_FOB_IX,1991M2,96.39587629,,
9703432,Panama,283,"Goods, Deflator/Unit Value of Exports, Index",TXG_D_FOB_IX,1967M12,27.73290402,,
9704968,Belgium-Luxembourg,126,"Goods, Deflator/Unit Value of Exports, Index",TXG_D_FOB_IX,1991M6,104.201104,,
9707585,Greece,174,"Goods, Deflator/Unit Value of Exports, Index",TXG_D_FOB_IX,1987M3,50.90023411,,
9707620,Spain,184,"Goods, Deflator/Unit Value of Exports, Index",TXG_D_FOB_IX,2010M10,102.0596075,,
9707962,Papua New Guinea,853,"Goods, Deflator/Unit Value of Exports, Index",TXG_D_FOB_IX,1979M5,6.826622094,,
9711252,Canada,156,"Goods, Deflator/Unit Value of Exports, Index",TXG_D_FOB_IX,1966M6,15.63533661,,
9712186,Japan,158,"Goods, Deflator/Unit Value of Exports, Index",TXG_D_FOB_IX,1983M3,112.877099,,
9713579,"China, P.R.: Hong Kong",532,"Goods, Deflator/Unit Value of Exports, Index",TXG_D_FOB_IX,2005M9,88.12217195,,
9713586,Netherlands,138,"Goods, Deflator/Unit Value of Exports, Index",TXG_D_FOB_IX,1971M8,45.88685503,,
9714270,Netherlands,138,"Goods, Deflator/Unit Value of Exports, Index",TXG_D_FOB_IX,1960M6,40.49862842,,
9715185,Rwanda,714,"Goods, Deflator/Unit Value of Exports, Index",TXG_D_FOB_IX,1986M1,2.070818877,,
9715420,Switzerland,146,"Goods, Deflator/Unit Value of Exports, Index",TXG_D_FOB_IX,1987M6,96.14791988,,
9716061,Denmark,128,"Goods, Deflator/Unit Value of Exports, Index",TXG_D_FOB_IX,1986M5,81.16583432,,
9716588,Japan,158,"Goods, Deflator/Unit Value of Exports, Index",TXG_D_FOB_IX,2009M2,100.7175301,,
9716597,Italy,136,"Goods, Deflator/Unit Value of Exports, Index",TXG_D_FOB_IX,1977M7,16.00912866,,
9716919,Jordan,439,"Goods, Deflator/Unit Value of Exports, Index",TXG_D_FOB_IX,2007M5,78.91621129,,
9717924,Bangladesh,513,"Goods, Deflator/Unit Value of Exports, Index",TXG_D_FOB_IX,1984M1,70.86641553,,
9721081,Germany,134,"Goods, Deflator/Unit Value of Exports, Index",TXG_D_FOB_IX,1972M6,59.45636771,,
9721092,Belgium-Luxembourg,126,"Goods, Deflator/Unit Value of Exports, Index",TXG_D_FOB_IX,1989M1,105.095534,,
9721856,India,534,"Goods, Deflator/Unit Value of Exports, Index",TXG_D_FOB_IX,1984M10,14.3674428,,
9721906,France,132,"Goods, Deflator/Unit Value of Exports, Index",TXG_D_FOB_IX,1997M2,113.923298,,
9724288,"Korea, Republic of",542,"Goods, Deflator/Unit Value of Exports, Index",TXG_D_FOB_IX,1967M4,30.67925784,,
9724295,"Korea, Republic of",542,"Goods, Deflator/Unit Value of Exports, Index",TXG_D_FOB_IX,1999M7,106.6325648,,
9724689,France,132,"Goods, Deflator/Unit Value of Exports, Index",TXG_D_FOB_IX,2009M2,91.09107125,,
9725182,Japan,158,"Goods, Deflator/Unit Value of Exports, Index",TXG_D_FOB_IX,1965M5,66.57519738,,
9725183,Japan,158,"Goods, Deflator/Unit Value of Exports, Index",TXG_D_FOB_IX,1983M8,111.326285,,
9725434,"Korea, Republic of",542,"Goods, Deflator/Unit Value of Exports, Index",TXG_D_FOB_IX,2002M3,105.0873006,,
9727811,Panama,283,"Goods, Deflator/Unit Value of Exports, Index",TXG_D_FOB_IX,1980M1,50.387635,,
9732023,Germany,134,"Goods, Deflator/Unit Value of Exports, Index",TXG_D_FOB_IX,1958M2,51.57828412,,
9732024,Germany,134,"Goods, Deflator/Unit Value of Exports, Index",TXG_D_FOB_IX,1962M8,52.21318035,,
9732470,Bangladesh,513,"Goods, Deflator/Unit Value of Exports, Index",TXG_D_FOB_IX,1986M2,83.0020284,,
9734719,Italy,136,"Goods, Deflator/Unit Value of Exports, Index",TXG_D_FOB_IX,2002M9,77.73210606,,
9734964,Ireland,178,"Goods, Deflator/Unit Value of Exports, Index",TXG_D_FOB_IX,1971M8,18.18574799,,
9734965,Ireland,178,"Goods, Deflator/Unit Value of Exports, Index",TXG_D_FOB_IX,1983M4,88.13950086,,
9737946,Thailand,578,"Goods, Deflator/Unit Value of Exports, Index",TXG_D_FOB_IX,2011M7,105.7949002,,
9739060,Spain,184,"Goods, Deflator/Unit Value of Exports, Index",TXG_D_FOB_IX,2013M9,105.9365156,,
9739116,"Korea, Republic of",542,"Goods, Deflator/Unit Value of Exports, Index",TXG_D_FOB_IX,2008M4,93.41338416,,
9740713,France,132,"Goods, Deflator/Unit Value of Exports, Index",TXG_D_FOB_IX,2004M3,100.9612526,,
9740802,Netherlands,138,"Goods, Deflator/Unit Value of Exports, Index",TXG_D_FOB_IX,1957M8,44.18032191,,
9740803,Netherlands,138,"Goods, Deflator/Unit Value of Exports, Index",TXG_D_FOB_IX,1967M6,42.13493664,,
9741049,Italy,136,"Goods, Deflator/Unit Value of Exports, Index",TXG_D_FOB_IX,1976M12,14.54504141,,
9741092,Jordan,439,"Goods, Deflator/Unit Value of Exports, Index",TXG_D_FOB_IX,1999M6,50.59198543,,
9741693,Japan,158,"Goods, Deflator/Unit Value of Exports, Index",TXG_D_FOB_IX,1964M2,68.36288195,,
9742159,Bangladesh,513,"Goods, Deflator/Unit Value of Exports, Index",TXG_D_FOB_IX,1990M11,104.6653144,,
9744148,Ireland,178,"Goods, Deflator/Unit Value of Exports, Index",TXG_D_FOB_IX,1964M6,13.4518812,,
9744966,Japan,158,"Goods, Deflator/Unit Value of Exports, Index",TXG_D_FOB_IX,1967M9,70.2515386,,
9748008,Canada,156,"Goods, Deflator/Unit Value of Exports, Index",TXG_D_FOB_IX,1969M5,16.7299209,,
9748538,Jordan,439,"Goods, Deflator/Unit Value of Exports, Index",TXG_D_FOB_IX,2006M11,70.26411658,,
9749773,India,534,"Goods, Deflator/Unit Value of Exports, Index",TXG_D_FOB_IX,1970M10,3.283986926,,
9750608,Euro Area,163,"Goods, Deflator/Unit Value of Exports, Index",TXG_D_FOB_IX,2004M4,87.24362181,,
9751944,Euro Area,163,"Goods, Deflator/Unit Value of Exports, Index",TXG_D_FOB_IX,2013M7,108.3541771,,
9752381,Rwanda,714,"Goods, Deflator/Unit Value of Exports, Index",TXG_D_FOB_IX,1991M3,134.1648632,,
9755673,Panama,283,"Goods, Deflator/Unit Value of Exports, Index",TXG_D_FOB_IX,1991M9,97.77172762,,
9758607,Switzerland,146,"Goods, Deflator/Unit Value of Exports, Index",TXG_D_FOB_IX,1982M11,96.14791988,,
9759528,Ireland,178,"Goods, Deflator/Unit Value of Exports, Index",TXG_D_FOB_IX,2010M3,99.66185567,,
9760765,Ireland,178,"Goods, Deflator/Unit Value of Exports, Index",TXG_D_FOB_IX,1995M6,106.1938144,,
